,sample,n_valid_spectra,mean_mean,mean_std,rel_std,visual_inspection_needed
0,s12_raw,28,15.422284759487338,0.45419046571035454,2.9450271006761812,False
1,s12_raw,19,15.002677046439628,0.1787606076729375,1.1915247333499073,True
2,s12_raw,45,14.83039981890936,0.1911558828745308,1.2889462536997778,False
3,s13_raw,16,13.731645967253996,0.2094373810076438,1.5252168713575298,True
4,s13_raw,48,13.669680889129184,0.15815696426863465,1.1569909023582914,False
5,s13_raw,41,13.502086637015783,0.14951776088892635,1.1073678084617342,False
6,s14_raw,14,19.443077399574527,5.781271109298113,29.734341897052907,True
7,s14_raw,48,14.503167294614752,0.2025016871068984,1.3962583689018768,False
8,s14_raw,39,14.326332793385804,0.1781027764461683,1.2431846936320994,False
9,s15_raw,25,16.376826534609194,0.833005363583585,5.086488287722853,False
10,s15_raw,54,13.144365852391253,0.1828563219722657,1.3911384088491423,False
11,s15_raw,54,13.094397731743124,0.12452914066918053,0.951010830893734,False
12,s16_raw,40,16.870319751775916,1.589392227879725,9.421233570350152,True
13,s16_raw,57,12.611702243040877,0.14531296851064893,1.1522074158611892,False
14,s16_raw,55,12.574149335510235,0.14727168233170834,1.17122580941363,False
15,s17_raw,7,9.668961344537815,0.1256412259597763,1.299428361359139,True
16,s17_raw,39,9.213459377919017,0.10205779605446455,1.1077033269290397,False
17,s17_raw,39,9.095592417863228,0.08286495005561959,0.9110451111779978,False
18,s18_raw,17,10.43895203022812,0.718030714845574,6.878379292924897,True
19,s18_raw,10,7.297194899960807,0.13121264703023627,1.798124468772802,True
20,s18_raw,56,6.662555183869178,0.03985055244255794,0.5981271650708541,False
21,s19_raw,41,18.86878050365749,0.7023969697266121,3.722535060442623,False
22,s19_raw,53,18.419427692415223,0.40136327437155483,2.179021417352879,False
23,s19_raw,18,18.550722952850503,0.719431004526682,3.8781831110044913,True
24,s20_raw,24,9.456999946592,0.08732247328560316,0.9233633687083966,False
25,s20_raw,29,9.27982347687884,0.06937386063689205,0.7475773737479017,False
26,s20_raw,39,9.300985743482004,0.07921768556407718,0.8517127942013221,False
27,s21_raw,27,11.1276743089446,0.178028265691239,1.5998694852898154,False
28,s21_raw,26,10.794128203741243,0.12385035169967981,1.1473863322908588,False
29,s21_raw,42,11.070009821861786,0.3394845088967785,3.0667046765066286,False
30,s22_raw,45,7.887866191663198,0.24344808039517113,3.0863616912324776,False
31,s22_raw,53,7.248227849860082,0.03512321868400011,0.484576635993557,False
32,s22_raw,55,7.229866252833786,0.034964572012401454,0.4836129852152783,False
33,s23_raw,33,8.048073408198755,0.07639882825047549,0.9492809567647117,False
34,s23_raw,47,8.055683349143859,0.0652475156692955,0.809956310860082,False
35,s23_raw,57,8.019206551775556,0.03576600976784592,0.4460043464016632,False
36,s24_raw,37,6.18899096904626,0.32065886002489824,5.181116948282002,False
37,s24_raw,42,5.8878099325216295,0.04364305511475608,0.7412442931231757,False
38,s24_raw,45,5.974062756837397,0.04357407741857473,0.7293876745553702,False
39,s01_raw,34,5.334297092128178,0.03701968633044508,0.693993710719169,False
40,s01_raw,4,8.065897775685276,0.6453430625799446,8.000883231192654,True
41,s01_raw,30,5.345294686274509,0.02430891921995058,0.454772293141673,False
42,s02_raw,16,11.261974647783633,0.10852188387714105,0.9636132851577522,True
43,s02_raw,35,11.253355872984207,0.09759377979679552,0.8672415668564052,False
44,s02_raw,31,11.193028485226282,0.08508021493913696,0.7601179167142712,False
45,s03_raw,4,20.365532325114124,1.0893812985801723,5.349142272292987,True
46,s03_raw,6,21.581381120217685,1.1657552195418799,5.401671065665891,True
47,s03_raw,32,17.274453245551218,0.3695327199514347,2.139186199983507,False
48,s04_raw,27,6.428955092576739,0.05436960258714835,0.8456989013646522,False
49,s04_raw,24,6.803900797161136,0.1049150449239626,1.5419837539038992,False
50,s04_raw,4,6.970840240482368,0.08060770866897875,1.156355703016382,True
51,s05_raw,18,19.6540064863436,0.6605274290137318,3.3607775059639518,True
52,s05_raw,18,20.00112925899285,0.7914150684212916,3.9568519265753848,True
53,s05_raw,17,20.726578401313706,1.6193783405905382,7.81305196272964,True
54,s06_raw,7,12.061620941176473,0.0895285642756656,0.7422598066403264,True
55,s06_raw,20,11.885113085402692,0.21421576229261527,1.8023872448947522,False
56,s06_raw,19,12.506325690225246,0.3107835320520643,2.4850107037830305,True
57,s07_raw,14,12.581455954005852,1.020155491415918,8.108405697602171,True
58,s07_raw,31,9.365107968253746,0.07563783578709628,0.8076557797678012,False
59,s07_raw,18,10.122644148150918,0.11124933203292597,1.0990145500002353,True
60,s08_raw,22,10.11091459175994,0.0645300622235289,0.6382218110725489,False
61,s08_raw,25,10.334504512941177,0.08884506910846236,0.8596935537374617,False
62,s08_raw,9,10.889062169934641,0.06114541284421987,0.5615305697587626,True
63,s09_raw,11,10.73398195892096,0.10921526555533775,1.0174720432110422,True
64,s09_raw,14,10.722013794682667,0.09610447922681212,0.8963286288110626,True
65,s09_raw,36,10.472126081699345,0.10043913134755213,0.9591092636200724,False
66,s10_raw,13,4.179552631855153,0.038151573396123364,0.912814761688723,True
67,s10_raw,35,4.076468302554299,0.024193432401182654,0.5934900164935207,False
68,s10_raw,38,4.042599670797425,0.01962769831374639,0.48552169178489835,False
69,s11_raw,29,9.103110251521297,0.06578284768507223,0.7226414474555958,False
70,s11_raw,59,8.577362849064313,0.05350516807204724,0.6237950872963712,False
71,s11_raw,59,8.564153428424865,0.0537766347455434,0.6279270355789749,False
